Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Mayfield - Warabrook",13703,549,9,11,599,14873,
"Merewether - The Junction",12805,202,3,4,607,13622,
"Newcastle - Cooks Hill",9654,251,6,3,841,10757,
"Newcastle Port - Kooragang",17,0,0,0,0,16,
"Shortland - Jesmond",10692,381,18,26,427,11544,
"Stockton - Fullerton Cove",6792,286,3,8,400,7495,
"Wallsend - Elermore Vale",18108,829,18,5,669,19628,
"Waratah - North Lambton",11106,521,13,8,412,12059,
"Wickham - Carrington - Tighes Hill",7204,314,7,0,474,8003,
"Ballina",15244,645,25,15,1187,17115,
"Ballina Region",15195,519,18,6,1096,16835,
"Bangalow",4957,57,7,0,650,5670,
"Brunswick Heads - Ocean Shores",7247,184,12,24,744,8212,
"Byron Bay",7856,125,9,3,1504,9503,
"Evans Head",4526,218,10,14,457,5219,
"Lennox Head - Skennars Head",7214,137,6,0,383,7741,
"Mullumbimby",6807,127,10,9,1035,7994,
"Casino",10309,1090,17,12,800,12231,
"Casino Region",5927,348,4,10,685,6972,
"Goonellabah",11378,840,17,23,867,13122,
"Kyogle",6330,289,9,3,682,7312,
"Lismore",13203,809,28,17,1225,15282,
"Lismore Region",13340,396,12,18,1257,15028,
"Kingscliff - Fingal Head",11613,473,54,46,960,13150,
"Murwillumbah",8031,279,14,19,596,8942,
"Murwillumbah Region",8414,213,20,12,1005,9653,
"Pottsville",11901,396,40,45,797,13181,
"Tweed Heads",17125,598,60,81,1560,19418,
"Banora Point",14279,592,32,66,666,15636,
"Terranora - North Tumblegum",2988,85,10,3,156,3249,
"Tweed Heads South",7198,420,37,30,464,8146,
"Griffith (NSW)",16532,936,24,11,1645,19143,
"Griffith Region",10772,810,17,8,1263,12880,
"Leeton",8696,513,10,7,865,10086,
"Narrandera",4844,558,3,3,623,6034,
"Tumbarumba",3034,150,0,4,261,3445,
"Tumut",5380,302,10,4,576,6275,
"Tumut Region",4183,158,4,0,369,4715,
"Cootamundra",6618,398,8,5,532,7566,
"Gundagai",3239,95,0,0,264,3596,
"Junee",5237,471,10,15,516,6245,
"Temora",6111,150,5,0,451,6717,
"Wagga Wagga - East",15189,661,14,6,708,16585,
"Wagga Wagga - North",4062,117,0,4,212,4404,
"Wagga Wagga - South",18849,1404,23,21,975,21266,
"Wagga Wagga - West",10246,926,12,13,950,12155,
"Wagga Wagga Region",13012,503,17,10,1280,14819,
"Berry - Kangaroo Valley",7962,171,4,0,648,8788,
"Callala Bay - Currarong",3227,159,0,0,226,3611,
"Culburra Beach",4321,306,3,0,327,4962,
"Ettrema - Sassafras - Budawang",43,0,0,0,6,54,
"Huskisson - Vincentia",3821,118,4,0,259,4194,
"North Nowra - Bomaderry",13893,867,22,7,964,15759,
"Nowra",16504,1884,46,30,1571,20040,
"St Georges Basin - Erowal Bay",12269,921,10,11,794,14006,
"Sussex Inlet - Berrara",3967,144,6,0,227,4345,
"Tomerong - Wandandian - Woollamia",3073,130,3,0,192,3405,
"Ulladulla",13853,489,20,8,905,15279,
"Ulladulla Region",4554,110,3,3,395,5063,
"Bowral",12087,111,9,5,740,12948,
"Hill Top - Colo Vale",5507,200,0,0,319,6026,
"Mittagong",8185,218,0,4,590,8999,
"Moss Vale - Berrima",8972,237,8,0,576,9801,
"Robertson - Fitzroy Falls",3164,49,0,0,294,3506,
"Southern Highlands",6087,93,6,0,404,6585,
"Baulkham Hills (East)",22257,120,3,3,563,22943,
"Baulkham Hills (West) - Bella Vista",19530,79,0,0,459,20068,
"Glenhaven",6040,36,0,0,171,6253,
"West Pennant Hills",12328,37,0,0,272,12640,
"Castle Hill - Central",7362,24,4,0,232,7609,
"Castle Hill - East",5437,15,0,0,145,5594,
"Castle Hill - North",11517,37,0,0,335,11886,
"Castle Hill - South",9218,35,0,8,258,9519,
"Castle Hill - West",5112,17,0,0,110,5239,
"Cherrybrook",18319,47,0,6,397,18768,
"Kellyville",22514,87,5,3,621,23231,
"Dural - Kenthurst - Wisemans Ferry",19882,141,9,0,986,21019,
"Galston - Laughtondale",4933,42,0,0,230,5210,
"Bilpin - Colo - St Albans",2241,85,0,0,367,2691,
"Kurrajong Heights - Ebenezer",20016,576,3,14,1297,21898,
"Pitt Town - McGraths Hill",9815,223,9,0,485,10531,
"Rouse Hill - Beaumont Hills",21808,182,0,0,666,22651,
"Blacktown (East) - Kings Park",15790,222,7,14,883,16920,
"Blacktown (North) - Marayong",16845,458,17,11,691,18024,
"Doonside - Woodcroft",20939,752,20,11,810,22526,
