Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Northam",9521,630,8,5,953,11115,
"Toodyay",3894,118,4,0,422,4442,
"York - Beverley",4571,186,3,0,589,5347,
"Brookton",3008,275,0,16,412,3716,
"Kulin",3774,142,0,8,368,4293,
"Murray",2218,93,3,0,257,2575,
"Narrogin",3937,329,5,9,449,4725,
"Wagin",4325,102,3,0,506,4937,
"Broome",9388,2769,48,183,1600,13984,
"Derby - West Kimberley",2187,4851,16,94,558,7703,
"Halls Creek",529,2419,3,10,310,3271,
"Kununurra",4003,2290,20,26,811,7150,
"Roebuck",530,1545,0,32,136,2246,
"East Pilbara",3532,1692,18,16,1405,6663,
"Newman",3264,546,32,16,716,4567,
"Port Hedland",3541,246,11,7,551,4362,
"South Hedland",6112,1684,106,113,1449,9470,
"Ashburton (WA)",9841,923,66,37,2159,13026,
"Karratha",12453,1468,78,60,1771,15825,
"Roebourne",3703,1149,30,23,746,5644,
"Esperance",10353,491,6,0,1259,12111,
"Esperance Region",3161,123,6,0,578,3864,
"Carnarvon",3478,975,3,8,698,5157,
"Exmouth",3612,288,5,0,422,4326,
"Boulder",5429,833,7,20,801,7089,
"Kalgoorlie",11662,874,11,29,1360,13933,
"Kalgoorlie - North",7792,386,9,8,649,8842,
"Kalgoorlie Airport",3,0,0,0,5,4,
"Kambalda - Coolgardie - Norseman",3498,478,4,10,570,4560,
"Leinster - Leonora",1877,2094,3,22,664,4657,
"Trafalgar (WA)",0,0,0,0,0,0,
"Geraldton",9439,1150,3,11,1181,11790,
"Geraldton - East",6026,1255,6,35,641,7968,
"Geraldton - North",6558,637,4,5,487,7690,
"Geraldton - South",8900,469,0,7,604,9980,
"Irwin",3241,83,0,0,244,3569,
"Meekatharra",1606,801,11,11,638,3070,
"Morawa",3408,282,3,0,312,4007,
"Northampton - Mullewa - Greenough",4922,387,5,3,626,5942,
"Migratory - Offshore - Shipping (WA)",349,5,0,0,72,431,
"No Usual Address (WA)",4501,562,15,11,867,5950,
"Total",2237543,72922,1436,1626,160890,2474414,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
