Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Noosaville",8110,73,0,0,549,8734,
"Sunshine Beach",6046,54,4,0,433,6530,
"Tewantin",9599,182,10,7,510,10306,
"Peregian Beach - Marcus Beach",3544,39,0,0,177,3755,
"Peregian Springs",6681,86,0,6,564,7340,
"Beerwah",7532,206,0,10,449,8201,
"Caloundra Hinterland",7960,106,10,8,454,8539,
"Glass House Mountains",5387,94,8,12,341,5838,
"Landsborough",9287,229,4,4,614,10140,
"Maroochy Hinterland",5714,90,9,0,446,6255,
"Palmwoods",9919,150,19,5,511,10612,
"Bli Bli",7750,194,4,10,396,8355,
"Diddillibah - Rosemount",3462,49,4,3,243,3766,
"Eumundi - Yandina",9642,226,16,9,655,10546,
"Nambour",18161,609,35,45,1116,19961,
"Noosa Hinterland",20106,387,24,9,1325,21851,
"Cambooya - Wyreema",6256,176,9,0,524,6961,
"Darling Heights",12411,459,17,13,839,13743,
"Drayton - Harristown",8893,529,22,10,749,10195,
"Gatton",6643,221,9,7,547,7431,
"Gowrie (Qld)",5805,272,4,8,321,6413,
"Highfields",12276,284,11,14,595,13177,
"Lockyer Valley - West",10174,309,11,16,856,11361,
"Middle Ridge",6771,78,0,0,283,7142,
"Newtown (Qld)",8332,570,23,24,642,9596,
"North Toowoomba - Harlaxton",4945,317,3,14,459,5738,
"Rangeville",7654,149,13,0,495,8309,
"Toowoomba - Central",11887,512,34,29,915,13375,
"Toowoomba - East",8883,224,7,13,634,9754,
"Toowoomba - West",11734,471,13,8,775,13004,
"Wilsonton",11525,849,15,26,903,13312,
"Ayr",7817,491,64,91,634,9097,
"Burdekin",7026,243,25,56,566,7916,
"Charters Towers",6511,792,29,55,727,8126,
"Dalrymple",3193,117,12,20,416,3755,
"Ingham",3749,270,34,24,349,4428,
"Ingham Region",5667,263,41,28,462,6454,
"Palm Island",117,1888,26,378,30,2443,
"Aitkenvale",4167,214,66,36,305,4792,
"Annandale",8888,231,22,14,911,10066,
"Belgian Gardens - Pallarenda",2898,94,10,7,272,3284,
"Bohle Plains",6616,246,23,16,327,7235,
"Condon - Rasmussen",8497,994,154,167,667,10476,
"Cranbrook",5074,323,86,56,375,5913,
"Deeragun",19713,1052,138,150,1352,22405,
"Douglas",7112,144,30,25,429,7741,
"Garbutt - West End",5153,429,83,72,802,6532,
"Gulliver - Currajong - Vincent",6453,551,176,110,443,7728,
"Heatley",3327,335,45,72,257,4036,
"Hermit Park - Rosslea",4438,231,51,39,393,5151,
"Hyde Park - Pimlico",4065,210,57,22,295,4650,
"Kelso",8544,869,213,184,826,10627,
"Kirwan - East",6513,599,173,122,417,7818,
"Kirwan - West",13658,746,143,135,868,15555,
"Magnetic Island",2002,62,0,3,270,2342,
"Mount Louisa",8162,449,99,63,486,9260,
"Mundingburra",3284,87,36,37,178,3625,
"Northern Beaches",5483,240,22,16,600,6363,
"Oonoonba",5889,208,43,29,379,6552,
"South Townsville - Railway Estate",4289,215,62,41,610,5209,
"Townsville - South",3881,103,7,8,296,4300,
"Townsville City - North Ward",7723,224,68,30,1014,9053,
"Wulguru - Roseneath",4750,738,96,113,394,6098,
"Ashfield - Kepnock",4716,254,8,13,236,5228,
"Bargara - Burnett Heads",15459,403,29,26,677,16595,
"Branyan - Kensington",4303,134,3,11,254,4706,
"Bundaberg",5198,295,17,24,577,6122,
"Bundaberg East - Kalkie",4979,176,12,18,292,5473,
"Bundaberg North - Gooburrum",6329,296,13,15,566,7217,
"Bundaberg Region - North",7647,286,18,14,898,8866,
"Bundaberg Region - South",8639,276,4,19,897,9837,
"Millbank - Avoca",6551,302,13,24,521,7417,
"Svensson Heights - Norville",5035,254,36,14,273,5613,
"Walkervale - Avenell Heights",9477,513,28,34,649,10696,
"Gayndah - Mundubbera",5581,368,9,27,673,6657,
"Gin Gin",4521,122,10,4,465,5115,
"Kingaroy",9213,465,11,11,583,10288,
"Kingaroy Region - North",6886,1895,11,78,702,9570,
"Kingaroy Region - South",3565,75,0,6,283,3922,
"Monto - Eidsvold",3061,257,13,8,488,3830,
"Nanango",8488,401,26,26,735,9679,
"North Burnett",8,0,0,0,0,8,
"Cooloola",5428,236,10,9,583,6265,
"Gympie - North",12676,530,43,34,936,14217,
"Gympie - South",6129,183,23,5,406,6748,
"Gympie Region",16488,495,27,16,1532,18567,
"Kilkivan",3202,149,5,5,335,3687,
"Booral - River Heads",4083,209,0,5,301,4602,
"Craignish - Dundowran Beach",4406,153,5,5,249,4815,
"Pialba - Eli Waters",12522,508,30,15,879,13950,
"Point Vernon",5129,225,6,4,326,5693,
"Torquay - Scarness - Kawungan",13153,592,19,29,1208,15001,
"Urangan - Wondunna",11303,411,15,36,851,12614,
"Burrum - Fraser",8308,376,14,23,843,9570,
"Granville",2808,150,5,9,235,3208,
"Maryborough (Qld)",16130,860,56,55,1137,18240,
"Maryborough Region - South",7299,201,14,17,861,8390,
"Tinana",4987,153,3,10,323,5477,
"Migratory - Offshore - Shipping (Qld)",128,6,0,0,13,152,
"No Usual Address (Qld)",9883,677,68,55,1829,12515,
"Total",4211019,148940,21053,16489,305688,4703192,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
