Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Burnside Heights",5784,12,0,0,272,6071,
"Caroline Springs",18774,63,0,0,1062,19900,
"Hoppers Crossing - North",18076,147,0,3,996,19225,
"Hoppers Crossing - South",18363,162,9,0,941,19476,
"Laverton",8313,56,0,0,537,8903,
"Tarneit",32923,151,8,7,1698,34788,
"Truganina",22125,186,5,6,1087,23409,
"Werribee - South",10575,76,0,3,683,11334,
"Wyndham Vale",21778,304,11,4,1176,23274,
"Point Cook - East",11518,56,0,0,622,12198,
"Point Cook - North",22118,130,4,0,930,23177,
"Point Cook - South",13785,66,3,0,578,14432,
"Werribee - East",18333,235,0,0,1290,19862,
"Werribee - West",11101,138,0,0,569,11812,
"Carrum Downs",19183,223,13,3,1287,20713,
"Frankston",20525,217,10,6,1806,22568,
"Frankston North",17497,251,19,14,1510,19291,
"Frankston South",17358,94,8,4,742,18204,
"Langwarrin",22555,179,3,3,1098,23832,
"Seaford (Vic.)",14992,191,13,4,1256,16462,
"Skye - Sandhurst",12482,88,5,0,505,13078,
"Dromana",10271,66,6,0,676,11024,
"Flinders",4973,18,0,0,388,5371,
"Hastings - Somers",20240,339,33,7,1402,22019,
"Mornington",22652,138,14,0,1190,23991,
"Mount Eliza",17098,63,0,0,717,17889,
"Mount Martha",17709,64,6,0,777,18547,
"Point Nepean",15667,155,0,10,1291,17120,
"Rosebud - McCrae",19464,218,13,9,1243,20944,
"Somerville",16934,150,6,0,997,18086,
"Ararat",7748,125,5,0,414,8301,
"Ararat Region",2721,37,4,0,382,3142,
"Horsham",15102,254,15,4,874,16252,
"Horsham Region",3217,22,6,0,166,3407,
"Nhill Region",6372,88,0,3,425,6888,
"St Arnaud",3146,24,0,5,180,3351,
"Stawell",7350,131,7,5,605,8096,
"West Wimmera",2565,21,0,0,173,2764,
"Yarriambiack",6025,63,10,4,517,6623,
"Irymple",6315,131,4,0,420,6876,
"Merbein",4244,164,3,3,358,4773,
"Mildura Region",3341,63,0,5,303,3722,
"Red Cliffs",5155,164,6,4,558,5878,
"Mildura - North",15480,912,43,16,1623,18065,
"Mildura - South",12942,530,8,11,1067,14552,
"Buloke",5588,47,16,0,555,6202,
"Gannawarra",6133,112,0,0,407,6653,
"Kerang",3476,88,0,0,330,3890,
"Robinvale",2586,229,9,16,471,3313,
"Swan Hill",9423,379,9,12,1087,10907,
"Swan Hill Region",5325,169,12,0,872,6375,
"Echuca",13080,472,7,9,1004,14577,
"Kyabram",9899,186,12,9,806,10906,
"Lockington - Gunbower",3384,53,7,8,352,3802,
"Rochester",3587,43,9,0,246,3882,
"Rushworth",3668,65,4,0,302,4037,
"Cobram",5768,93,5,10,472,6345,
"Moira",2316,42,0,0,209,2570,
"Numurkah",11209,253,3,0,794,12265,
"Yarrawonga",7136,79,7,0,713,7929,
"Mooroopna",6785,512,4,18,616,7937,
"Shepparton - North",16482,597,13,25,1485,18603,
"Shepparton - South",20622,689,30,16,1778,23137,
"Shepparton Region - East",3549,57,0,0,243,3850,
"Shepparton Region - West",9070,211,9,4,839,10129,
"Glenelg (Vic.)",7833,185,3,3,689,8720,
"Hamilton (Vic.)",9288,162,3,0,514,9970,
"Portland",9686,257,8,12,830,10799,
"Southern Grampians",5585,77,3,0,404,6073,
"Camperdown",3207,21,3,0,266,3496,
"Colac",11321,141,7,0,781,12250,
"Colac Region",4911,60,5,0,351,5322,
"Corangamite - North",4876,48,5,0,454,5380,
"Corangamite - South",6576,70,0,0,517,7159,
"Otway",3060,40,0,0,324,3427,
"Moyne - East",6045,80,4,3,513,6650,
"Moyne - West",8644,97,0,3,689,9433,
"Warrnambool - North",19396,374,6,0,1317,21101,
"Warrnambool - South",11709,165,6,4,1042,12919,
"Migratory - Offshore - Shipping (Vic.)",22,0,0,0,5,26,
"No Usual Address (Vic.)",6222,249,20,11,1069,7572,
"Total",5532275,44590,2027,1169,346563,5926624,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
