Australian Bureau of Statistics

"2011 Census - Usual Address and Internal Migration"
"Main Statistical Area Structure (Main ASGS) (UR) by Remoteness Areas (UR)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Remoteness Areas (UR)","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Migratory - Offshore - Shipping (NSW)","No usual address (NSW)","Major Cities of Australia (Vic.)","Inner Regional Australia (Vic.)","Outer Regional Australia (Vic.)","Remote Australia (Vic.)","Migratory - Offshore - Shipping (Vic.)","No usual address (Vic.)","Major Cities of Australia (Qld)","Inner Regional Australia (Qld)","Outer Regional Australia (Qld)","Remote Australia (Qld)","Very Remote Australia (Qld)","Migratory - Offshore - Shipping (Qld)","No usual address (Qld)","Major Cities of Australia (SA)","Inner Regional Australia (SA)","Outer Regional Australia (SA)","Remote Australia (SA)","Very Remote Australia (SA)","Migratory - Offshore - Shipping (SA)","No usual address (SA)","Major Cities of Australia (WA)","Inner Regional Australia (WA)","Outer Regional Australia (WA)","Remote Australia (WA)","Very Remote Australia (WA)","Migratory - Offshore - Shipping (WA)","No usual address (WA)","Inner Regional Australia (Tas.)","Outer Regional Australia (Tas.)","Remote Australia (Tas.)","Very Remote Australia (Tas.)","Migratory - Offshore - Shipping (Tas.)","No usual address (Tas.)","Outer Regional Australia (NT)","Remote Australia (NT)","Very Remote Australia (NT)","Migratory - Offshore - Shipping (NT)","No usual address (NT)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Migratory - Offshore - Shipping (ACT)","No usual address (ACT)","Inner Regional Australia (OT)","Very Remote Australia (OT)","Migratory - Offshore - Shipping (OT)","No usual address (OT)","Total",
"Main Statistical Area Structure (Main ASGS) (UR)",
"Cowra Region",0,1980,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,
"Forbes",0,0,9805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9805,
"Grenfell",0,0,3646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3646,
"Parkes (NSW)",0,0,10939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10939,
"Parkes Region",0,0,3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390,
"West Wyalong",0,0,5679,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5850,
"Lithgow",0,12251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12251,
"Lithgow Region",0,7610,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7895,
"Mudgee",0,10484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10484,
"Mudgee Region - East",0,1282,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,
"Mudgee Region - West",0,0,9950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9950,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",0,6073,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7007,
"Orange",0,19629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19629,
"Orange - North",0,16835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16835,
"Orange Region",0,7930,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10997,
"Grafton",0,18360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18360,
"Grafton Region",0,5899,9141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15033,
"Maclean - Yamba - Iluka",0,15643,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15845,
"Bellingen",0,0,5704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5704,
"Coffs Harbour - North",0,16342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16342,
