Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Main Statistical Area Structure (Main ASGS) (UR) by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Main Statistical Area Structure (Main ASGS) (UR)",
"Ulladulla",13138,305,10,7,688,14148,
"Ulladulla Region",4390,67,3,6,177,4642,
"Bowral",11515,126,3,13,497,12151,
"Hill Top - Colo Vale",5306,126,0,8,225,5673,
"Mittagong",7570,141,6,13,372,8104,
"Moss Vale - Berrima",8398,226,6,8,300,8935,
"Robertson - Fitzroy Falls",3190,56,0,0,136,3373,
"Southern Highlands",5822,60,8,0,258,6148,
"Baulkham Hills (East)",20689,82,0,3,567,21349,
"Baulkham Hills (West) - Bella Vista",18173,56,0,0,382,18615,
"Castle Hill",26525,95,8,0,826,27458,
"Cherrybrook",23668,37,0,0,651,24362,
"Glenhaven",5642,18,0,0,171,5831,
"Kellyville",23107,66,0,4,584,23762,
"West Pennant Hills",12182,16,0,0,249,12445,
"Dural - Kenthurst - Wisemans Ferry",19506,102,12,3,625,20240,
"Galston - Laughtondale",4940,20,0,0,138,5095,
"Bilpin - Colo - St Albans",2211,60,0,0,362,2638,
"Kurrajong Heights - Ebenezer",20011,340,0,4,1083,21439,
"Pitt Town - McGraths Hill",8497,130,5,14,365,9013,
"Rouse Hill - Beaumont Hills",17395,82,0,3,688,18170,
"Blacktown (East) - Kings Park",14600,168,4,21,754,15544,
"Blacktown (North) - Marayong",15655,449,17,13,747,16875,
"Blacktown (South)",25228,393,18,8,966,26613,
"Doonside - Woodcroft",18022,646,21,14,794,19505,
"Lalor Park - Kings Langley",22714,402,19,7,828,23968,
"Seven Hills - Toongabbie",21281,295,4,8,931,22510,
"Glenwood",14861,87,0,0,381,15324,
"Parklea - Kellyville Ridge",21615,247,10,3,528,22403,
"Quakers Hill - Acacia Gardens",24818,266,7,9,705,25811,
"Riverstone - Marsden Park",10268,344,17,15,597,11236,
"Bidwill - Hebersham - Emerton",15999,1578,42,11,975,18599,
"Glendenning Dean Park",7622,177,0,6,321,8129,
"Hassall Grove - Plumpton",18379,353,25,8,829,19592,
"Lethbridge Park - Tregear",13567,1348,30,7,1091,16045,
"Mount Druitt - Whalan",19766,691,14,13,1235,21720,
"Prospect Reservoir",15,0,0,0,4,15,
"Rooty Hill - Minchinbury",18443,389,9,7,787,19627,
"Banksmeadow",9,0,0,0,0,10,
"Botany",8185,210,8,0,480,8883,
"Mascot - Eastlakes",18352,227,3,0,1284,19866,
"Pagewood - Hillsdale - Daceyville",9877,159,11,3,543,10590,
"Port Botany Industrial",0,0,0,0,0,0,
"Sydney Airport",5,0,0,0,0,5,
"Marrickville",22723,401,16,9,1469,24611,
"Petersham - Stanmore",17216,231,8,8,1342,18807,
"Sydenham - Tempe - St Peters",6502,117,4,3,570,7192,
"Darlinghurst",8654,40,4,4,1353,10060,
"Erskineville - Alexandria",12991,218,9,3,684,13896,
"Glebe - Forest Lodge",14705,340,7,7,1520,16574,
"Newtown - Camperdown - Darlington",19347,251,6,7,1908,21518,
"Potts Point - Woolloomooloo",15237,183,3,8,2613,18040,
"Pyrmont - Ultimo",15875,139,11,10,2699,18731,
"Redfern - Chippendale",14095,321,16,17,2110,16561,
"Surry Hills",13182,142,0,6,2017,15344,
"Sydney - Haymarket - The Rocks",18385,61,0,3,4307,22758,
"Waterloo - Beaconsfield",17916,440,6,9,2717,21089,
"Bondi - Tamarama - Bronte",15565,66,3,0,2251,17887,
"Bondi Beach - North Bondi",17002,65,0,0,2263,19327,
