Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Sydenham",10938,21,0,3,566,11530,
"Taylors Lakes",17267,18,8,0,640,17938,
"Altona",11241,35,0,0,499,11778,
"Altona Meadows",17716,99,7,4,926,18746,
"Altona North",11909,45,11,0,1042,13012,
"Newport",15272,57,3,3,833,16157,
"Seabrook",4736,29,0,0,209,4970,
"Williamstown",14158,54,3,0,530,14748,
"Braybrook",14444,79,7,0,1402,15930,
"Footscray",11500,56,10,4,1633,13202,
"Maribyrnong",9519,20,0,0,620,10163,
"Seddon - Kingsville",7822,32,4,0,503,8358,
"West Footscray - Tottenham",9580,69,3,3,579,10229,
"Yarraville",13119,43,3,0,584,13745,
"Bacchus Marsh",16311,153,13,0,676,17156,
"Caroline Springs",24940,73,10,3,1041,26069,
"Hillside",14870,58,0,0,615,15542,
"Melton",16605,184,10,5,893,17703,
"Melton South",14639,150,8,12,998,15804,
"Melton West",13217,147,4,3,809,14172,
"Rockbank - Mount Cottrell",2398,83,0,0,179,2661,
"Taylors Hill",15000,26,0,0,435,15464,
"Hoppers Crossing - North",18004,103,3,0,866,18978,
"Hoppers Crossing - South",17452,113,20,3,1036,18619,
"Laverton",4940,38,3,0,365,5353,
"Point Cook",31191,124,5,3,1092,32414,
"Tarneit",20681,95,3,0,1193,21974,
"Truganina",10570,95,6,0,502,11168,
"Werribee",27728,286,13,7,1703,29741,
"Werribee - South",10053,46,0,3,369,10478,
"Wyndham Vale",16197,202,11,6,885,17306,
"Carrum Downs",17777,140,23,0,1174,19121,
"Frankston",20086,150,20,7,1315,21582,
"Frankston North",17779,221,21,3,1038,19061,
"Frankston South",17005,91,6,0,522,17613,
"Langwarrin",21805,121,8,3,568,22499,
"Seaford (Vic.)",14864,133,8,0,1030,16033,
"Skye - Sandhurst",10178,56,0,0,315,10550,
"Dromana",8568,57,3,0,390,9015,
"Flinders",5044,13,0,0,276,5332,
"Hastings - Somers",19078,246,8,3,964,20299,
"Mornington",21260,108,10,3,1040,22420,
"Mount Eliza",16547,36,3,0,665,17248,
"Mount Martha",16224,45,0,3,819,17089,
"Point Nepean",14876,103,7,10,1134,16129,
"Rosebud - McCrae",18409,187,3,8,1016,19622,
"Somerville",16796,98,10,0,542,17450,
"Ararat",7721,69,11,0,274,8078,
"Ararat Region",2758,21,0,0,129,2910,
"Horsham",15062,255,9,0,564,15894,
"Horsham Region",3274,9,0,0,118,3412,
"Nhill Region",6872,97,9,0,226,7196,
"St Arnaud",3436,30,4,0,118,3586,
"Stawell",7776,89,17,0,387,8273,
"West Wimmera",2757,15,0,0,99,2882,
"Yarriambiack",6590,55,6,9,358,7027,
"Irymple",6136,113,0,4,233,6478,
"Merbein",4296,196,8,4,143,4641,
"Mildura",27500,1283,34,34,1796,30647,
"Mildura Region",3621,39,5,3,141,3809,
"Red Cliffs",5048,112,5,5,240,5406,
"Buloke",6174,33,6,0,181,6388,
"Gannawarra",6151,70,0,0,265,6494,
"Kerang",3587,88,4,0,192,3872,
"Robinvale",2862,261,15,18,324,3471,
"Swan Hill",9552,432,15,7,431,10431,
"Swan Hill Region",6084,138,7,7,314,6549,
"Echuca",13033,477,12,10,664,14192,
"Kyabram",10099,181,12,0,443,10737,
"Lockington - Gunbower",3521,40,0,0,165,3725,
"Rochester",3629,28,3,0,130,3797,
"Rushworth",3860,52,0,0,181,4096,
"Cobram",5842,68,4,14,313,6242,
"Moira",2467,25,0,0,65,2561,
"Numurkah",11539,205,17,4,497,12261,
"Yarrawonga",6457,54,0,0,545,7056,
"Mooroopna",6904,542,13,15,345,7811,
"Shepparton - North",15825,499,19,5,888,17229,
"Shepparton - South",19462,683,16,13,1284,21456,
"Shepparton Region - East",3746,52,0,4,122,3927,
"Shepparton Region - West",9168,222,7,0,393,9793,
"Glenelg (Vic.)",8301,200,0,7,320,8832,
"Hamilton (Vic.)",9645,112,4,4,335,10104,
"Portland",9989,180,3,4,532,10715,
"Southern Grampians",6065,64,0,0,217,6348,
"Camperdown",3277,30,6,0,144,3461,
"Colac",11312,92,13,0,359,11776,
"Colac Region",5096,32,0,0,189,5319,
"Corangamite - North",5184,34,5,0,172,5396,
"Corangamite - South",7150,47,4,0,270,7472,
"Moyne - East",6374,100,3,5,220,6707,
"Moyne - West",8432,75,3,0,381,8891,
"Otway",2992,39,0,0,234,3269,
"Warrnambool - North",18369,337,12,11,810,19542,
"Warrnambool - South",12071,131,4,7,633,12838,
"Migratory - Offshore - Shipping (Vic.)",33,0,0,0,0,36,
"No Usual Address (Vic.)",7243,271,5,3,776,8307,
"Total",5069155,34947,2158,881,246894,5354039,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
