Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Labrador",14910,252,12,5,1213,16401,
"Paradise Point - Hollywell",8110,62,9,4,439,8611,
"Runaway Bay",8268,60,5,0,583,8910,
"Guanaba - Springbrook",3733,53,3,0,204,4000,
"Tamborine - Canungra",12570,144,4,0,417,13138,
"Currumbin Valley - Tallebudgera",6459,44,5,11,293,6818,
"Mudgeeraba - Bonogin",16561,154,4,10,652,17386,
"Reedy Creek - Andrews",6433,87,6,0,342,6873,
"Carrara",10816,125,11,5,615,11568,
"Highland Park",7915,131,13,7,415,8473,
"Nerang - Mount Nathan",17506,318,26,8,975,18827,
"Pacific Pines - Gaven",15455,180,18,10,720,16375,
"Worongary - Tallai",6833,36,6,0,547,7425,
"Coomera",8109,124,4,0,548,8793,
"Helensvale",15257,131,8,10,574,15987,
"Hope Island",7852,44,6,0,681,8586,
"Jacobs Well - Alberton",3135,36,3,0,137,3308,
"Ormeau - Yatala",15118,195,24,3,541,15893,
"Oxenford - Maudsland",13692,186,10,12,474,14371,
"Pimpama",2961,64,3,0,181,3210,
"Upper Coomera - Willow Vale",22441,355,18,14,1102,23921,
"Clear Island Waters",3766,4,3,0,212,3984,
"Merrimac",5674,59,7,9,575,6320,
"Robina",19181,135,5,0,1201,20523,
"Varsity Lakes",13291,187,10,3,873,14365,
"Ashmore",10869,96,5,0,614,11587,
"Molendinar",5755,104,3,0,349,6211,
"Parkwood",7980,129,5,0,314,8438,
"Southport",25528,347,21,11,2407,28317,
"Benowa",7524,65,10,3,383,7977,
"Bundall",3930,25,3,0,226,4189,
"Main Beach",2808,12,3,0,676,3495,
"Surfers Paradise",16861,129,6,3,2669,19667,
"Darra - Sumner",4042,51,3,0,281,4379,
"Durack",6003,142,8,21,376,6546,
"Forest Lake - Doolandella",24113,370,33,31,802,25353,
"Inala - Richlands",13428,871,45,43,1055,15432,
"Oxley (Qld)",6392,73,8,4,452,6917,
"Wacol",4052,494,57,18,329,4936,
"Boonah",10298,144,17,13,465,10937,
"Esk",4464,97,9,9,194,4777,
"Lake Manchester - England Creek",0,0,0,0,0,0,
"Lockyer Valley - East",15803,538,40,18,1148,17541,
"Lowood",11141,326,19,5,528,12023,
"Rosewood",10491,446,32,16,690,11671,
"Brassall",8545,366,16,7,308,9245,
"Bundamba",7074,259,35,14,479,7852,
"Churchill - Yamanto",5449,178,6,9,273,5915,
"Ipswich - Central",5917,294,20,20,430,6678,
"Ipswich - East",15385,642,30,21,772,16848,
"Ipswich - North",4092,62,0,12,134,4299,
"Karalee - Barellan Point",4577,47,0,6,157,4790,
"Karana Downs",5715,68,3,3,169,5952,
"Leichhardt - One Mile",5850,438,13,14,393,6713,
"North Ipswich - Tivoli",5713,251,11,13,333,6325,
"Raceview",13088,507,12,23,591,14216,
"Ripley",2697,59,5,0,89,2844,
"Riverview",2666,290,3,15,262,3243,
"Bellbird Park - Brookwater",7819,185,9,17,429,8463,
"Camira - Gailes",8251,313,24,14,432,9036,
"Carole Park",3,0,0,0,0,3,
"Collingwood Park - Redbank",7196,228,19,11,290,7750,
"Goodna",8282,461,32,40,438,9254,
"New Chum",0,0,0,0,0,0,
"Redbank Plains",13651,475,31,11,811,14975,
"Springfield",6208,173,3,13,222,6616,
"Springfield Lakes",9792,157,4,0,297,10255,
"Beaudesert",11226,572,25,18,546,12379,
"Beenleigh",7163,229,22,12,824,8245,
"Eagleby",10667,433,30,33,805,11972,
"Edens Landing - Holmview",6077,139,7,12,334,6572,
"Mount Warren Park",5295,132,8,7,217,5663,
"Wolffdene - Bahrs Scrub",5028,50,12,0,213,5301,
"Boronia Heights - Park Ridge",10903,238,24,23,532,11717,
"Browns Plains",6234,160,21,10,237,6661,
"Chambers Flat - Logan Reserve",3591,58,0,0,114,3766,
"Crestmead",10196,374,32,31,575,11210,
"Greenbank Military Camp",0,0,0,0,0,0,
"Hillcrest",7292,134,3,7,313,7752,
"Marsden",10173,480,43,26,764,11490,
"Munruben - Park Ridge South",4354,70,4,0,161,4590,
"Regents Park - Heritage Park",14589,294,33,19,600,15529,
"Greenbank",11113,202,24,7,431,11780,
"Jimboomba",18579,407,37,14,673,19706,
"Logan Village",5332,122,3,0,390,5853,
"Bethania - Waterford",7639,216,27,8,638,8526,
"Cornubia - Carbrook",7661,75,6,0,282,8031,
"Loganholme - Tanah Merah",10170,170,4,19,372,10728,
"Loganlea",8333,336,45,42,558,9312,
"Shailer Park",10919,114,10,0,220,11277,
"Waterford West",6390,235,14,16,358,7012,
"Daisy Hill",5955,78,14,12,208,6255,
"Kingston",8754,448,67,58,855,10184,
"Logan Central",5484,210,24,28,521,6262,
"Rochedale South - Priestdale",14377,193,15,11,528,15122,
"Slacks Creek",9225,396,27,15,770,10434,
"Springwood",8556,101,16,8,307,8991,
"Underwood",5029,46,0,5,242,5325,
"Woodridge",11279,504,100,40,862,12788,
"Bowen",7277,511,51,91,913,8851,
"Broadsound - Nebo",8324,230,26,25,1276,9878,
"Clermont",3424,75,5,7,227,3746,
"Collinsville",3342,189,5,13,494,4043,
"Moranbah",8043,183,31,18,692,8966,
"Andergrove - Beaconsfield",12695,557,208,138,804,14404,
"East Mackay",3243,91,42,16,254,3637,
"Eimeo - Rural View",8960,178,111,43,614,9908,
"Eungella Hinterland",4,0,0,0,0,4,
"Mackay",3388,126,71,34,455,4072,
"Mackay Harbour",463,0,0,0,61,527,
"Mount Pleasant - Glenella",9932,170,53,31,563,10750,
"North Mackay",5891,256,84,81,429,6746,
"Ooralea - Bakers Creek",3711,79,44,23,264,4124,
"Pioneer Valley",6448,135,64,25,405,7083,
"Sarina",10205,381,145,108,751,11596,
"Seaforth - Calen",7639,197,59,22,499,8417,
"Shoal Point - Bucasia",4849,118,65,34,287,5342,
"Slade Point",3191,160,182,69,259,3860,
"South Mackay",6663,185,101,46,425,7415,
"Walkerston - Eton",7894,123,39,19,332,8405,
"West Mackay",5885,153,43,23,411,6509,
"Airlie - Whitsundays",8896,138,12,4,1499,10549,
"Cape Conway",0,0,0,0,0,0,
"Proserpine",7306,234,56,26,358,7986,
"Beachmere - Sandstone Point",12447,334,18,15,673,13485,
"Bribie Island",15842,269,25,12,905,17047,
"Burpengary - East",3328,64,0,0,277,3674,
"Caboolture",19593,788,58,62,1799,22299,
"Caboolture - South",16670,668,80,56,1134,18608,
"Elimbah",3483,50,0,0,188,3722,
"Morayfield - East",6533,226,7,12,398,7167,
"Wamuran",3383,57,3,7,143,3583,
"Kilcoy",4441,137,3,4,260,4838,
"Woodford - D'Aguilar",5930,184,20,23,302,6454,
"Burpengary",12240,233,26,15,456,12963,
"Deception Bay",19511,770,49,52,1384,21762,
"Morayfield",4604,70,5,0,146,4816,
"Narangba",15461,248,8,13,486,16222,
"Upper Caboolture",2638,62,0,6,118,2825,
"Clontarf",7384,152,7,10,354,7911,
"Margate - Woody Point",10217,265,28,14,572,11094,
"Redcliffe",8415,165,11,4,597,9200,
"Rothwell - Kippa-Ring",15340,444,29,7,786,16614,
"Scarborough - Newport",10629,136,9,9,392,11168,
"Albany Creek",15385,133,10,13,316,15862,
"Cashmere",14868,126,17,6,408,15427,
"Dayboro",7323,77,8,5,251,7669,
"Eatons Hill",7703,37,0,0,254,7991,
"Hills District",21836,226,18,15,545,22634,
"Samford Valley",10531,66,4,4,326,10929,
"Dakabin - Kallangur",19194,419,13,23,781,20427,
"Murrumba Downs - Griffin",11158,165,11,6,410,11753,
"North Lakes - Mango Hill",18508,246,23,11,595,19380,
"Bray Park",9467,253,10,19,262,10003,
"Lawnton",5342,156,6,20,205,5727,
"Petrie",8090,172,10,0,220,8500,
"Strathpine - Brendale",10492,220,36,21,360,11126,
"Aurukun",98,1164,9,26,3,1295,
"Cape York",3212,2938,122,438,341,7057,
"Croydon - Etheridge",1030,101,3,0,78,1209,
"Kowanyama - Pormpuraaw",152,1457,14,65,9,1693,
"Northern Peninsula",300,140,891,929,32,2299,
"Tablelands",4414,502,137,70,366,5495,
"Torres",868,93,1610,359,328,3259,
"Torres Strait Islands",334,47,3302,512,61,4250,
"Weipa",2357,275,173,168,351,3332,
"Carpentaria",1589,3019,10,63,354,5033,
"Mount Isa",14718,2851,96,120,2779,20569,
"Mount Isa Region",2524,793,22,22,504,3856,
"Northern Highlands",3166,180,8,7,301,3667,
"Barcaldine - Blackall",4862,255,22,18,260,5416,
"Charleville",3771,499,18,13,317,4617,
"Far Central West",1926,384,15,18,105,2446,
"Far South West",2353,703,9,21,163,3243,
"Longreach",3692,262,12,12,207,4188,
"Buderim - North",14697,149,11,11,409,15281,
"Buderim - South",13811,130,6,3,401,14356,
"Mountain Creek",6692,83,3,7,224,7016,
"Sippy Downs",8666,156,7,7,258,9088,
"Aroona - Currimundi",9125,197,9,6,331,9676,
"Buddina - Minyama",5928,75,4,0,140,6143,
"Caloundra - Kings Beach",5427,104,15,0,544,6082,
"Caloundra - West",14421,199,12,9,492,15126,
"Golden Beach - Pelican Waters",9899,106,3,3,214,10227,
"Moffat Beach - Battery Hill",7257,103,5,3,412,7783,
"Parrearra - Warana",8652,102,4,0,334,9100,
"Wurtulla - Birtinya",5575,90,14,0,216,5897,
"Coolum Beach",12340,179,22,7,608,13153,
"Marcoola - Mudjimba",9631,135,19,4,393,10183,
"Maroochydore - Kuluin",15668,197,17,8,804,16700,
"Mooloolaba - Alexandra Headland",10152,120,6,3,770,11052,
"Bli Bli",6305,134,5,8,242,6696,
"Diddillibah - Rosemount",3223,22,0,6,110,3364,
"Eumundi - Yandina",8807,144,9,9,451,9417,
"Nambour",16817,457,42,31,784,18136,
"Noosa Hinterland",19062,222,8,19,951,20254,
"Noosa Heads",3735,23,0,0,238,3997,
"Noosaville",7234,41,3,6,452,7732,
"Peregian",7377,62,0,3,336,7776,
"Sunshine Beach",5936,62,0,0,348,6343,
"Tewantin",9514,132,14,4,382,10044,
"Beerwah",6681,174,6,8,335,7198,
"Caloundra Hinterland",7503,69,5,3,398,7980,
"Glass House Mountains",5061,86,0,9,387,5545,
